SampleColumn	Replication	Identifier	File
GSM2609100_Count_H1N1_3hr_RNA_Seq.txt	GSM2609100_Count_H1N1_3hr_RNA_Seq.txt		GSM2609100_Count_H1N1_3hr_RNA_Seq.txt.gz
GSM2609100_Count_H1N1_3hr_RNA_Seq.txt	GSM2609100_Count_H1N1_3hr_RNA_Seq.txt		GSM2609100_Count_H1N1_3hr_RNA_Seq.txt.gz
GSM2609100_Count_H1N1_3hr_RNA_Seq.txt	GSM2609100_Count_H1N1_3hr_RNA_Seq.txt		GSM2609100_Count_H1N1_3hr_RNA_Seq.txt.gz
GSM2609101_Count_H1N1_6hr_RNA_Seq.txt	GSM2609101_Count_H1N1_6hr_RNA_Seq.txt		GSM2609101_Count_H1N1_6hr_RNA_Seq.txt.gz
GSM2609101_Count_H1N1_6hr_RNA_Seq.txt	GSM2609101_Count_H1N1_6hr_RNA_Seq.txt		GSM2609101_Count_H1N1_6hr_RNA_Seq.txt.gz
GSM2609101_Count_H1N1_6hr_RNA_Seq.txt	GSM2609101_Count_H1N1_6hr_RNA_Seq.txt		GSM2609101_Count_H1N1_6hr_RNA_Seq.txt.gz
GSM2609101_Count_H1N1_6hr_RNA_Seq.txt	GSM2609101_Count_H1N1_6hr_RNA_Seq.txt		GSM2609101_Count_H1N1_6hr_RNA_Seq.txt.gz
GSM2609101_Count_H1N1_6hr_RNA_Seq.txt	GSM2609101_Count_H1N1_6hr_RNA_Seq.txt		GSM2609101_Count_H1N1_6hr_RNA_Seq.txt.gz
GSM2609102_Count_H5N1_1hr_RNA_Seq.txt	GSM2609102_Count_H5N1_1hr_RNA_Seq.txt		GSM2609102_Count_H5N1_1hr_RNA_Seq.txt.gz
GSM2609102_Count_H5N1_1hr_RNA_Seq.txt	GSM2609102_Count_H5N1_1hr_RNA_Seq.txt		GSM2609102_Count_H5N1_1hr_RNA_Seq.txt.gz
GSM2609102_Count_H5N1_1hr_RNA_Seq.txt	GSM2609102_Count_H5N1_1hr_RNA_Seq.txt		GSM2609102_Count_H5N1_1hr_RNA_Seq.txt.gz
GSM2609102_Count_H5N1_1hr_RNA_Seq.txt	GSM2609102_Count_H5N1_1hr_RNA_Seq.txt		GSM2609102_Count_H5N1_1hr_RNA_Seq.txt.gz
GSM2609102_Count_H5N1_1hr_RNA_Seq.txt	GSM2609102_Count_H5N1_1hr_RNA_Seq.txt		GSM2609102_Count_H5N1_1hr_RNA_Seq.txt.gz
GSM2609103_Count_H5N1_3hr_RNA_Seq.txt	GSM2609103_Count_H5N1_3hr_RNA_Seq.txt		GSM2609103_Count_H5N1_3hr_RNA_Seq.txt.gz
GSM2609103_Count_H5N1_3hr_RNA_Seq.txt	GSM2609103_Count_H5N1_3hr_RNA_Seq.txt		GSM2609103_Count_H5N1_3hr_RNA_Seq.txt.gz
GSM2609103_Count_H5N1_3hr_RNA_Seq.txt	GSM2609103_Count_H5N1_3hr_RNA_Seq.txt		GSM2609103_Count_H5N1_3hr_RNA_Seq.txt.gz
GSM2609103_Count_H5N1_3hr_RNA_Seq.txt	GSM2609103_Count_H5N1_3hr_RNA_Seq.txt		GSM2609103_Count_H5N1_3hr_RNA_Seq.txt.gz
GSM2609103_Count_H5N1_3hr_RNA_Seq.txt	GSM2609103_Count_H5N1_3hr_RNA_Seq.txt		GSM2609103_Count_H5N1_3hr_RNA_Seq.txt.gz
GSM2609104_Count_H5N1_6hr_RNA_Seq.txt	GSM2609104_Count_H5N1_6hr_RNA_Seq.txt		GSM2609104_Count_H5N1_6hr_RNA_Seq.txt.gz
GSM2609104_Count_H5N1_6hr_RNA_Seq.txt	GSM2609104_Count_H5N1_6hr_RNA_Seq.txt		GSM2609104_Count_H5N1_6hr_RNA_Seq.txt.gz
GSM2609104_Count_H5N1_6hr_RNA_Seq.txt	GSM2609104_Count_H5N1_6hr_RNA_Seq.txt		GSM2609104_Count_H5N1_6hr_RNA_Seq.txt.gz
GSM2609104_Count_H5N1_6hr_RNA_Seq.txt	GSM2609104_Count_H5N1_6hr_RNA_Seq.txt		GSM2609104_Count_H5N1_6hr_RNA_Seq.txt.gz
GSM2609104_Count_H5N1_6hr_RNA_Seq.txt	GSM2609104_Count_H5N1_6hr_RNA_Seq.txt		GSM2609104_Count_H5N1_6hr_RNA_Seq.txt.gz
